Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
an old man,CharacterTypes,397,355,2.23,0.83
likely that,ConfidenceHigh,397,371,2.23,0.87
marketers,CharacterTypes,397,203,2.23,0.48
270,InformationQuantities,397,330,2.23,0.77
a working,ExpertVocabulary,397,367,2.23,0.86
uncle's,CharacterTypes,397,270,2.23,0.63
writer's,ExpertVocabulary,397,304,2.23,0.71
and when the,Reasoning,397,369,2.23,0.86
in -,ExpertVocabulary,397,332,2.23,0.78
uncles,CharacterTypes,397,324,2.23,0.76
milligrams,InformationQuantities,397,186,2.23,0.44
couldn't help but,CharacterTypes,397,360,2.23,0.84
case studies,MethodsResultsDiscussion,396,234,2.23,0.55
parsons,CharacterTypes,396,189,2.23,0.44
"significantly ,",ReaderDirectedMetadiscourse,396,349,2.23,0.82
much attention,PurposePlan,396,374,2.23,0.88
cancers,ExpertVocabulary,396,200,2.23,0.47
a witness,CharacterTypes,396,344,2.23,0.81
to anybody,Reasoning,396,372,2.23,0.87
the guest,CharacterTypes,396,321,2.23,0.75
equality of,Reasoning,395,188,2.22,0.44
were selected,MethodsResultsDiscussion,395,311,2.22,0.73
225,InformationQuantities,395,287,2.22,0.67
indicative of,Reasoning,395,341,2.22,0.80
more generally,ReaderDirectedMetadiscourse,395,334,2.22,0.78
subtly,ExpertVocabulary,395,375,2.22,0.88
viral,ExpertVocabulary,395,276,2.22,0.65
ptsd,ExpertVocabulary,395,147,2.22,0.34
pence,ExpertVocabulary,395,175,2.22,0.41
well known,ConfidenceHigh,394,365,2.21,0.85
", moreover",ReaderDirectedMetadiscourse,394,295,2.21,0.69
might help,ConfidenceHedged,394,370,2.21,0.87
noted that the,CitationNeutral,394,343,2.21,0.80
analyzing the,Reasoning,394,348,2.21,0.81
dues,ExpertVocabulary,394,240,2.21,0.56
realist,CharacterTypes,394,223,2.21,0.52
claims to,CitationControversy,394,339,2.21,0.79
virginity,CharacterTypes,394,261,2.21,0.61
node,ExpertVocabulary,394,136,2.21,0.32
realised,ConfidenceHigh,394,311,2.21,0.73
ion,ExpertVocabulary,394,150,2.21,0.35
was measured,PurposePlan,393,257,2.21,0.60
by virtue of,Reasoning,393,330,2.21,0.77
transmission of,ExpertVocabulary,393,275,2.21,0.64
to plan,PurposePlan,393,356,2.21,0.83
assertion that,CitationControversy,393,368,2.21,0.86
was added,MethodsResultsDiscussion,393,287,2.21,0.67
. these include,ReaderDirectedMetadiscourse,393,367,2.21,0.86
oriental,ExpertVocabulary,393,265,2.21,0.62
queue,ExpertVocabulary,393,180,2.21,0.42
contours,ExpertVocabulary,392,314,2.20,0.74
slogans,ExpertVocabulary,392,309,2.20,0.72
a portion of,ExpertVocabulary,392,365,2.20,0.85
known in,ConfidenceHigh,392,380,2.20,0.89
two or more,InformationQuantities,392,328,2.20,0.77
new yorkers,CharacterTypes,392,298,2.20,0.70
token,ExpertVocabulary,391,244,2.20,0.57
in the main,ReaderDirectedMetadiscourse,391,330,2.20,0.77
conditional,ExpertVocabulary,391,222,2.20,0.52
may come,ConfidenceHedged,391,371,2.20,0.87
opposite of,InformationComparison,391,369,2.20,0.86
vocational,ExpertVocabulary,391,197,2.20,0.46
of the participants,MethodsResultsDiscussion,391,242,2.20,0.57
handicapped,ExpertVocabulary,391,270,2.20,0.63
admin,CharacterTypes,391,200,2.20,0.47
engineered,CharacterTypes,391,332,2.20,0.78
presbyterian,ExpertVocabulary,391,237,2.20,0.55
tame,ExpertVocabulary,391,330,2.20,0.77
fast food,ExpertVocabulary,391,255,2.20,0.60
".
the man",CharacterTypes,391,300,2.20,0.70
what i'm doing,ReaderDirectedMetadiscourseFP,391,358,2.20,0.84
segments of,ExpertVocabulary,390,344,2.19,0.81
was expected,CitationControversy,390,366,2.19,0.86
radio station,ExpertVocabulary,390,295,2.19,0.69
the proposal,PurposePlan,390,329,2.19,0.77
low in,ExpertVocabulary,390,349,2.19,0.82
".
as for the",ReaderDirectedMetadiscourse,390,356,2.19,0.83
subcommittee,CharacterTypes,390,222,2.19,0.52
insulation,ExpertVocabulary,390,258,2.19,0.60
automation,ExpertVocabulary,390,183,2.19,0.43
keywords,ExpertVocabulary,390,249,2.19,0.58
the witness,CharacterTypes,390,273,2.19,0.64
joker,CharacterTypes,390,181,2.19,0.42
involves a,Reasoning,389,359,2.19,0.84
demonstrates that,CitationAuthority,389,335,2.19,0.78
resembles,InformationComparison,389,363,2.19,0.85
grandma's,CharacterTypes,389,267,2.19,0.62
programmers,CharacterTypes,389,204,2.19,0.48
appear to be,ConfidenceHedged,389,364,2.19,0.85
thinker,CharacterTypes,388,319,2.18,0.75
add to the,ReaderDirectedMetadiscourse,388,360,2.18,0.84
thirds,InformationQuantities,388,290,2.18,0.68
commenting on,CitationNeutral,388,347,2.18,0.81
a client,CharacterTypes,388,297,2.18,0.70
explaining that,CitationAuthority,388,318,2.18,0.74
nuclei,ExpertVocabulary,388,130,2.18,0.30
gentry,CharacterTypes,388,112,2.18,0.26
booster,CharacterTypes,387,227,2.18,0.53
is limited,PurposePlan,387,356,2.18,0.83
the guards,CharacterTypes,387,259,2.18,0.61
circuits,ExpertVocabulary,387,219,2.18,0.51
pharmaceuticals,ExpertVocabulary,387,268,2.18,0.63
know in,ConfidenceHigh,387,373,2.18,0.87
so she could,Reasoning,387,355,2.18,0.83
resemblance,InformationComparison,386,338,2.17,0.79
in the form of a,InformationComparison,386,357,2.17,0.84
appropriations,ExpertVocabulary,386,265,2.17,0.62
may include,ConfidenceHedged,386,315,2.17,0.74
have been made,PurposePlan,386,366,2.17,0.86
assertions,ExpertVocabulary,386,303,2.17,0.71
mileage,ExpertVocabulary,386,277,2.17,0.65
aside from the,ReaderDirectedMetadiscourse,386,368,2.17,0.86
trader,CharacterTypes,386,242,2.17,0.57
survey .,Reasoning,386,308,2.17,0.72
presume,Reasoning,386,353,2.17,0.83
count of,ExpertVocabulary,386,310,2.17,0.73
you get your,Reasoning,386,365,2.17,0.85
unequal,InformationComparison,385,296,2.16,0.69
650,InformationQuantities,385,276,2.16,0.65
the later,InformationComparison,385,334,2.16,0.78
divers,CharacterTypes,385,170,2.16,0.40
orbital,ExpertVocabulary,385,195,2.16,0.46
rhyme,ExpertVocabulary,385,231,2.16,0.54
playwright,CharacterTypes,385,247,2.16,0.58
family planning,ExpertVocabulary,385,128,2.16,0.30
", meaning that",ReaderDirectedMetadiscourse,385,358,2.16,0.84
barker,CharacterTypes,385,144,2.16,0.34
differ from,InformationComparison,384,337,2.16,0.79
may feel,ConfidenceHedged,384,349,2.16,0.82
separation of,ExpertVocabulary,384,299,2.16,0.70
reporting on,CitationAuthority,384,335,2.16,0.78
attorney's,CharacterTypes,384,270,2.16,0.63
"""
mr .",CharacterTypes,384,243,2.16,0.57
lore,ExpertVocabulary,383,308,2.15,0.72
complexes,ExpertVocabulary,383,196,2.15,0.46
it contains,ReaderDirectedMetadiscourse,383,336,2.15,0.79
unpublished,ExpertVocabulary,383,272,2.15,0.64
136,InformationQuantities,383,250,2.15,0.59
more the,InformationComparison,383,353,2.15,0.83
".
12",InformationQuantities,383,374,2.15,0.88
find out about,ConfidenceHigh,383,369,2.15,0.86
the familiar,CitationAuthority,382,358,2.15,0.84
is defined as,ReaderDirectedMetadiscourse,382,315,2.15,0.74
he writes,CitationAuthority,382,349,2.15,0.82
brokers,CharacterTypes,382,211,2.15,0.49
three-quarters,InformationQuantities,382,341,2.15,0.80
pianist,CharacterTypes,382,200,2.15,0.47
vets,CharacterTypes,382,241,2.15,0.56
promoter,CharacterTypes,382,211,2.15,0.49
very simple,ConfidenceHigh,381,340,2.14,0.80
memoirs,ExpertVocabulary,381,265,2.14,0.62
it would seem,ConfidenceHedged,381,355,2.14,0.83
treatise,ExpertVocabulary,381,229,2.14,0.54
discriminate,ExpertVocabulary,381,274,2.14,0.64
known that,ConfidenceHigh,381,363,2.14,0.85
magnetic field,ExpertVocabulary,381,151,2.14,0.35
a gentleman,CharacterTypes,381,334,2.14,0.78
", where is",ReaderDirectedMetadiscourse,381,357,2.14,0.84
associate professor,CharacterTypes,380,327,2.14,0.77
tenant,CharacterTypes,380,232,2.14,0.54
the goals,PurposePlan,380,317,2.14,0.74
indistinguishable,InformationComparison,380,321,2.14,0.75
lead to a,Reasoning,380,364,2.14,0.85
because those,Reasoning,380,368,2.14,0.86
aligned,InformationComparison,380,308,2.14,0.72
".
actually ,",ConfidenceHigh,380,353,2.14,0.83
no question,ConfidenceHigh,380,355,2.14,0.83
hardcore,ExpertVocabulary,380,262,2.14,0.61
hefty,CharacterTypes,380,350,2.14,0.82
within the context of,ReaderDirectedMetadiscourse,379,302,2.13,0.71
two thousand,InformationQuantities,379,313,2.13,0.73
produced by the,Reasoning,379,342,2.13,0.80
in order to make,PurposePlan,379,366,2.13,0.86
pursuits,PurposePlan,379,312,2.13,0.73
the words of,CitationAuthority,379,331,2.13,0.77
hereby,ConfidenceHigh,379,303,2.13,0.71
clear the,Reasoning,379,336,2.13,0.79
babysitter,CharacterTypes,379,264,2.13,0.62
granite,ExpertVocabulary,379,290,2.13,0.68
percentile,ExpertVocabulary,378,156,2.13,0.37
note that the,CitationNeutral,378,348,2.13,0.81
sis,CharacterTypes,378,257,2.13,0.60
i will give,ReaderDirectedMetadiscourseFP,378,337,2.13,0.79
mp,CharacterTypes,378,182,2.13,0.43
your opinion,PurposePlan,378,331,2.13,0.77
replicate,ExpertVocabulary,377,306,2.12,0.72
cartels,ExpertVocabulary,377,164,2.12,0.38
"good , but",Reasoning,377,363,2.12,0.85
renal,ExpertVocabulary,377,116,2.12,0.27
roommates,CharacterTypes,377,259,2.12,0.61
definitely a,ConfidenceHigh,377,359,2.12,0.84
it's obvious,ConfidenceHigh,377,353,2.12,0.83
equate,InformationComparison,376,340,2.11,0.80
participatory,ExpertVocabulary,376,179,2.11,0.42
plo,ExpertVocabulary,376,108,2.11,0.25
utopian,CharacterTypes,376,259,2.11,0.61
by comparison,InformationComparison,376,356,2.11,0.83
bisexual,ExpertVocabulary,376,180,2.11,0.42
teller,CharacterTypes,376,230,2.11,0.54
composers,CharacterTypes,376,203,2.11,0.48
finer,InformationComparison,376,330,2.11,0.77
shakespeare's,CharacterTypes,376,163,2.11,0.38
metabolic,ExpertVocabulary,376,165,2.11,0.39
could put,ConfidenceHedged,376,367,2.11,0.86
paramedics,CharacterTypes,376,257,2.11,0.60
arising from,Reasoning,375,313,2.11,0.73
metaphysics,ExpertVocabulary,375,131,2.11,0.31
the goal is,PurposePlan,375,340,2.11,0.80
atheism,ExpertVocabulary,375,137,2.11,0.32
the truth of,ConfidenceHigh,375,313,2.11,0.73
yen,ExpertVocabulary,375,171,2.11,0.40
demonstration of,ConfidenceHigh,375,345,2.11,0.81
individualism,ExpertVocabulary,375,230,2.11,0.54
are more than,InformationComparison,375,355,2.11,0.83
nigerian,CharacterTypes,375,169,2.11,0.40
adoptive,CharacterTypes,375,155,2.11,0.36
one -,InformationQuantities,375,359,2.11,0.84
hotter,InformationComparison,375,315,2.11,0.74
amounts,InformationQuantities,374,275,2.10,0.64
the reasons,Reasoning,374,351,2.10,0.82
".
mrs .",CharacterTypes,374,189,2.10,0.44
".
moreover ,",ReaderDirectedMetadiscourse,374,333,2.10,0.78
incorporation,ExpertVocabulary,374,246,2.10,0.58
on-site,ExpertVocabulary,374,252,2.10,0.59
the twins,CharacterTypes,374,221,2.10,0.52
new yorker,CharacterTypes,374,297,2.10,0.70
listings,ExpertVocabulary,374,253,2.10,0.59
hippie,CharacterTypes,374,271,2.10,0.63
firefighter,CharacterTypes,374,181,2.10,0.42
tad,InformationQuantities,374,283,2.10,0.66
although there,ReaderDirectedMetadiscourse,373,352,2.10,0.82
a brother,CharacterTypes,373,323,2.10,0.76
breeds,ExpertVocabulary,373,223,2.10,0.52
generalization,Reasoning,373,228,2.10,0.53
leading to the,Reasoning,373,350,2.10,0.82
vaginal,ExpertVocabulary,373,163,2.10,0.38
queen's,CharacterTypes,373,238,2.10,0.56
a guest,CharacterTypes,373,336,2.10,0.79
whores,CharacterTypes,373,256,2.10,0.60
find out how,ConfidenceHigh,373,361,2.10,0.85
cashier,CharacterTypes,373,226,2.10,0.53
darkest,InformationComparison,372,355,2.09,0.83
", for it",Reasoning,372,339,2.09,0.79
varsity,ExpertVocabulary,372,182,2.09,0.43
this paper,PurposePlan,372,292,2.09,0.68
educational system,ExpertVocabulary,372,243,2.09,0.57
morse,CharacterTypes,372,106,2.09,0.25
151,InformationQuantities,372,265,2.09,0.62
aunts,CharacterTypes,372,276,2.09,0.65
automotive,ExpertVocabulary,372,255,2.09,0.60
gendered,ExpertVocabulary,372,164,2.09,0.38
reformation,ExpertVocabulary,372,200,2.09,0.47
mechanism of,ExpertVocabulary,372,272,2.09,0.64
gen,ExpertVocabulary,372,193,2.09,0.45
subprime,ExpertVocabulary,372,64,2.09,0.15
that's the thing,ConfidenceHigh,372,342,2.09,0.80
were designed,MethodsResultsDiscussion,371,347,2.09,0.81
distinct from,InformationComparison,371,319,2.09,0.75
standard of living,ExpertVocabulary,371,277,2.09,0.65
staffing,CharacterTypes,371,254,2.09,0.59
metaphorical,ExpertVocabulary,371,269,2.09,0.63
details about,CitationAuthority,371,357,2.09,0.84
pub .,ExpertVocabulary,371,167,2.09,0.39
not unlike,ReaderDirectedMetadiscourse,371,346,2.09,0.81
pedestrians,CharacterTypes,371,233,2.09,0.55
can just,ConfidenceHedged,371,354,2.09,0.83
sgt .,CharacterTypes,371,199,2.09,0.47
".
among the",ReaderDirectedMetadiscourse,370,358,2.08,0.84
different levels,ExpertVocabulary,370,331,2.08,0.77
principally,ExpertVocabulary,370,318,2.08,0.74
we see that,ReaderDirectedMetadiscourseFP,370,288,2.08,0.67
programmes,ExpertVocabulary,370,141,2.08,0.33
according to his,CitationNeutral,370,333,2.08,0.78
corpus,ExpertVocabulary,370,157,2.08,0.37
thematic,ExpertVocabulary,370,223,2.08,0.52
in table 1,MethodsResultsDiscussion,370,305,2.08,0.71
these studies,ExpertVocabulary,370,272,2.08,0.64
informational,ExpertVocabulary,370,240,2.08,0.56
knows where,ConfidenceHigh,370,334,2.08,0.78
faux,InformationComparison,370,302,2.08,0.71
big city,ExpertVocabulary,369,318,2.07,0.74
board members,CharacterTypes,369,215,2.07,0.50
habit of,ExpertVocabulary,369,347,2.07,0.81
militarily,ExpertVocabulary,369,294,2.07,0.69
miller's,CharacterTypes,369,227,2.07,0.53
along the lines of,InformationComparison,369,334,2.07,0.78
skipper,CharacterTypes,369,124,2.07,0.29
syntax,ExpertVocabulary,369,226,2.07,0.53
femininity,CharacterTypes,369,161,2.07,0.38
exact same,InformationComparison,369,336,2.07,0.79
is this :,ReaderDirectedMetadiscourse,369,345,2.07,0.81
stripper,CharacterTypes,369,199,2.07,0.47
faculties,ExpertVocabulary,368,228,2.07,0.53
asserted that,CitationControversy,368,299,2.07,0.70
noted in,CitationNeutral,368,333,2.07,0.78
this might,ConfidenceHedged,368,354,2.07,0.83
reason that,Reasoning,368,356,2.07,0.83
fieldwork,ExpertVocabulary,368,196,2.07,0.46
half-dozen,InformationQuantities,368,338,2.07,0.79
stand up for,Reasoning,368,329,2.07,0.77
more of an,InformationComparison,368,361,2.07,0.85
the exact same,InformationComparison,368,347,2.07,0.81
noted the,CitationNeutral,367,324,2.06,0.76
psychiatrists,CharacterTypes,367,210,2.06,0.49
people of color,CharacterTypes,367,235,2.06,0.55
comparatively,ReaderDirectedMetadiscourse,367,328,2.06,0.77
147,InformationQuantities,367,267,2.06,0.62
a closer,InformationComparison,367,351,2.06,0.82
computational,ExpertVocabulary,367,174,2.06,0.41
185,InformationQuantities,367,276,2.06,0.65
twain,ExpertVocabulary,367,199,2.06,0.47
recite,CitationNeutral,367,305,2.06,0.71
that is why,Reasoning,367,344,2.06,0.81
kiddo,CharacterTypes,367,269,2.06,0.63
geology,ExpertVocabulary,366,227,2.06,0.53
deserving,Reasoning,366,324,2.06,0.76
wills,ExpertVocabulary,366,265,2.06,0.62
computer science,ExpertVocabulary,366,231,2.06,0.54
i suspect that,ReaderDirectedMetadiscourseFP,366,333,2.06,0.78
interns,CharacterTypes,366,193,2.06,0.45
137,InformationQuantities,366,258,2.06,0.60
", for i",Reasoning,366,284,2.06,0.66
like when,ReaderDirectedMetadiscourse,366,354,2.06,0.83
acknowledges that,Reasoning,365,337,2.05,0.79
dependent variable,MethodsResultsDiscussion,365,171,2.05,0.40
205,InformationQuantities,365,239,2.05,0.56
rt,ExpertVocabulary,365,154,2.05,0.36
was said,CitationNeutral,365,343,2.05,0.80
", which means that",Reasoning,365,340,2.05,0.80
other reasons,Reasoning,365,320,2.05,0.75
", who is a",ReaderDirectedMetadiscourse,365,344,2.05,0.81
trillions,InformationQuantities,365,279,2.05,0.65
18 %,InformationQuantities,365,238,2.05,0.56
it's crazy,ConfidenceHigh,365,330,2.05,0.77
analytic,Reasoning,364,225,2.05,0.53
root of,ExpertVocabulary,364,309,2.05,0.72
it is because,Reasoning,364,330,2.05,0.77
on the rise,PurposePlan,364,331,2.05,0.77
to verify,PurposePlan,364,310,2.05,0.73
to say the least,ReaderDirectedMetadiscourse,364,345,2.05,0.81
acquisitions,ExpertVocabulary,364,250,2.05,0.59
makes no sense,Reasoning,364,317,2.05,0.74
liquidity,ExpertVocabulary,364,158,2.05,0.37
that's for sure,ConfidenceHigh,364,348,2.05,0.81
reporting from,CitationNeutral,364,313,2.05,0.73
bring about,Reasoning,363,322,2.04,0.75
disproportionate,InformationComparison,363,281,2.04,0.66
".
1",InformationQuantities,363,313,2.04,0.73
fowler,CharacterTypes,363,170,2.04,0.40
half a million,InformationQuantities,363,332,2.04,0.78
millennia,InformationQuantities,363,292,2.04,0.68
royalties,ExpertVocabulary,363,214,2.04,0.50
it's certainly,ConfidenceHigh,363,343,2.04,0.80
sixties,InformationQuantities,362,286,2.04,0.67
cerebral,ExpertVocabulary,362,210,2.04,0.49
simulate,InformationComparison,362,254,2.04,0.59
are certainly,ConfidenceHigh,362,341,2.04,0.80
a poem,ExpertVocabulary,362,271,2.04,0.63
observed that,CitationAuthority,362,306,2.04,0.72
nearly half,InformationQuantities,362,341,2.04,0.80
can look,ConfidenceHedged,362,347,2.04,0.81
can turn,ConfidenceHedged,362,350,2.04,0.82
actresses,CharacterTypes,362,248,2.04,0.58
bb,ExpertVocabulary,362,190,2.04,0.44
".
ms .",CharacterTypes,362,215,2.04,0.50
were observed,MethodsResultsDiscussion,361,225,2.03,0.53
mythical,ExpertVocabulary,361,294,2.03,0.69
confidently,ConfidenceHigh,361,330,2.03,0.77
the corresponding,InformationComparison,361,254,2.03,0.59
patronage,ExpertVocabulary,361,209,2.03,0.49
have been used,PurposePlan,361,318,2.03,0.74
210,InformationQuantities,361,285,2.03,0.67
hebrews,CharacterTypes,361,147,2.03,0.34
helium,ExpertVocabulary,361,163,2.03,0.38
biopsy,ExpertVocabulary,361,154,2.03,0.36
forensics,ExpertVocabulary,361,239,2.03,0.56
lady's,CharacterTypes,361,310,2.03,0.73
smell like,InformationComparison,361,326,2.03,0.76
attributed,Reasoning,360,314,2.02,0.74
contenders,CharacterTypes,360,272,2.02,0.64
amount to,InformationQuantities,360,338,2.02,0.79
0,InformationQuantities,360,216,2.02,0.51
social networking,ExpertVocabulary,360,196,2.02,0.46
i'm not talking about,ReaderDirectedMetadiscourseFP,360,334,2.02,0.78
it's different,InformationComparison,360,332,2.02,0.78
whom she,CharacterTypes,359,315,2.02,0.74
14 %,InformationQuantities,359,224,2.02,0.52
plural,ExpertVocabulary,359,270,2.02,0.63
implying that,Reasoning,359,318,2.02,0.74
and how the,Reasoning,359,345,2.02,0.81
coroner,CharacterTypes,359,228,2.02,0.53
".
i think that",ReaderDirectedMetadiscourseFP,358,331,2.01,0.77
might come,ConfidenceHedged,358,347,2.01,0.81
writing in,CitationNeutral,358,298,2.01,0.70
a team of,CharacterTypes,358,336,2.01,0.79
anglican,CharacterTypes,358,142,2.01,0.33
tend to,ConfidenceHedged,358,342,2.01,0.80
17 %,InformationQuantities,358,243,2.01,0.57
manly,CharacterTypes,358,266,2.01,0.62
a virgin,CharacterTypes,358,268,2.01,0.63
geographically,ExpertVocabulary,357,309,2.01,0.72
plan of,PurposePlan,357,289,2.01,0.68
146,InformationQuantities,357,263,2.01,0.62
the tale,ExpertVocabulary,357,277,2.01,0.65
pioneers,CharacterTypes,357,255,2.01,0.60
can understand,ConfidenceHedged,357,331,2.01,0.77
199,InformationQuantities,357,253,2.01,0.59
characterization,ExpertVocabulary,357,270,2.01,0.63
".
13",InformationQuantities,357,346,2.01,0.81
son-in-law,CharacterTypes,357,261,2.01,0.61
analytics,ExpertVocabulary,357,144,2.01,0.34
collections of,InformationQuantities,356,285,2.00,0.67
numbers in,InformationQuantities,356,333,2.00,0.78
tanner,CharacterTypes,356,143,2.00,0.33
as close as,InformationComparison,356,338,2.00,0.79
", since he",Reasoning,356,333,2.00,0.78
volcanic,ExpertVocabulary,356,206,2.00,0.48
doubtless,ConfidenceHigh,355,287,2.00,0.67
alzheimer's disease,ExpertVocabulary,355,134,2.00,0.31
almost impossible,Reasoning,355,341,2.00,0.80
commentary on,ExpertVocabulary,355,303,2.00,0.71
butcher,CharacterTypes,355,265,2.00,0.62
there seems to be,ExpertVocabulary,355,337,2.00,0.79
".
i agree",ReaderDirectedMetadiscourseFP,355,320,2.00,0.75
acting as,InformationComparison,354,338,1.99,0.79
american studies,ExpertVocabulary,354,102,1.99,0.24
one-half,InformationQuantities,354,285,1.99,0.67
frameworks,ExpertVocabulary,354,257,1.99,0.60
biomedical,ExpertVocabulary,354,202,1.99,0.47
assumes that,Reasoning,354,302,1.99,0.71
is higher,InformationComparison,354,309,1.99,0.72
that meant,Reasoning,354,344,1.99,0.81
serb,CharacterTypes,354,122,1.99,0.29
looking like,InformationComparison,354,329,1.99,0.77
physiology,ExpertVocabulary,353,264,1.98,0.62
85 %,InformationQuantities,353,284,1.98,0.66
familiar to,InformationComparison,353,333,1.98,0.78
are likely to be,ConfidenceHedged,353,313,1.98,0.73
plymouth,ExpertVocabulary,353,150,1.98,0.35
157,InformationQuantities,353,221,1.98,0.52
dispersal,ExpertVocabulary,353,144,1.98,0.34
stepfather,CharacterTypes,353,244,1.98,0.57
coolest,InformationComparison,353,302,1.98,0.71
apiece,ExpertVocabulary,353,314,1.98,0.74
sure as hell,ConfidenceHigh,353,321,1.98,0.75
the intellectual,CharacterTypes,352,277,1.98,0.65
the results are,PurposePlan,352,333,1.98,0.78
result is,PurposePlan,352,303,1.98,0.71
", and like",ReaderDirectedMetadiscourse,352,339,1.98,0.79
an increasingly,PurposePlan,352,333,1.98,0.78
our goal,PurposePlan,352,320,1.98,0.75
144,InformationQuantities,352,249,1.98,0.58
beneficiaries,CharacterTypes,352,238,1.98,0.56
implying,Reasoning,352,316,1.98,0.74
were told,CitationNeutral,352,323,1.98,0.76
".
it seems",ConfidenceHedged,352,327,1.98,0.77
flyer,CharacterTypes,352,225,1.98,0.53
i learned that,ReaderDirectedMetadiscourseFP,352,332,1.98,0.78
czech,CharacterTypes,352,156,1.98,0.37
shooters,CharacterTypes,352,229,1.98,0.54
", so a",Reasoning,352,320,1.98,0.75
matrices,ExpertVocabulary,351,88,1.97,0.21
uniformly,Reasoning,351,295,1.97,0.69
13 %,InformationQuantities,351,227,1.97,0.53
results in a,Reasoning,351,305,1.97,0.71
".
i said",ReaderDirectedMetadiscourseFP,351,267,1.97,0.62
armed services,ExpertVocabulary,351,217,1.97,0.51
handler,CharacterTypes,351,184,1.97,0.43
550,InformationQuantities,350,240,1.97,0.56
nonverbal,ExpertVocabulary,350,132,1.97,0.31
inhabitants of,CharacterTypes,350,285,1.97,0.67
chronology,ExpertVocabulary,350,195,1.97,0.46
through the use of,Reasoning,350,303,1.97,0.71
resulted from,Reasoning,350,318,1.97,0.74
linkages,ExpertVocabulary,350,197,1.97,0.46
termed,ReaderDirectedMetadiscourse,350,316,1.97,0.74
contrasts,ReaderDirectedMetadiscourse,350,289,1.97,0.68
201,InformationQuantities,350,245,1.97,0.57
202,InformationQuantities,350,247,1.97,0.58
when compared to,InformationComparison,350,272,1.97,0.64
", who is the",ReaderDirectedMetadiscourse,350,325,1.97,0.76
mentioning,CitationNeutral,350,333,1.97,0.78
quieter,InformationComparison,350,314,1.97,0.74
but instead,ReaderDirectedMetadiscourse,350,333,1.97,0.78
knew who,ConfidenceHigh,350,332,1.97,0.78
congresswoman,CharacterTypes,350,193,1.97,0.45
hitter,CharacterTypes,350,223,1.97,0.52
political economy,ExpertVocabulary,349,196,1.96,0.46
starch,ExpertVocabulary,349,172,1.96,0.40
police chief,CharacterTypes,349,265,1.96,0.62
mechanisms of,ExpertVocabulary,349,261,1.96,0.61
i just know,ConfidenceHigh,349,333,1.96,0.78
counts of,ExpertVocabulary,349,253,1.96,0.59
temp,CharacterTypes,349,210,1.96,0.49
staffer,CharacterTypes,349,245,1.96,0.57
i will go,ReaderDirectedMetadiscourseFP,349,317,1.96,0.74
phenotype,ExpertVocabulary,349,102,1.96,0.24
reactions to,Reasoning,348,288,1.96,0.67
280,InformationQuantities,348,295,1.96,0.69
it involves,ReaderDirectedMetadiscourse,348,324,1.96,0.76
differences among,InformationComparison,348,260,1.96,0.61
logos,ExpertVocabulary,348,180,1.96,0.42
i will do,ReaderDirectedMetadiscourseFP,348,327,1.96,0.77
can buy,ConfidenceHedged,348,327,1.96,0.77
i can tell you that,ReaderDirectedMetadiscourse,348,328,1.96,0.77
cutler,CharacterTypes,348,103,1.96,0.24
observable,ExpertVocabulary,347,250,1.95,0.59
preachers,CharacterTypes,347,239,1.95,0.56
emulate,InformationComparison,347,320,1.95,0.75
cores,ExpertVocabulary,347,175,1.95,0.41
viii,ExpertVocabulary,347,222,1.95,0.52
aim to,PurposePlan,347,303,1.95,0.71
"importantly ,",ReaderDirectedMetadiscourse,347,274,1.95,0.64
to post,PurposePlan,347,301,1.95,0.70
talked about it,CitationNeutral,347,330,1.95,0.77
more that,InformationComparison,347,327,1.95,0.77
monologue,ExpertVocabulary,347,225,1.95,0.53
watercolor,ExpertVocabulary,347,127,1.95,0.30
elf,CharacterTypes,347,152,1.95,0.36
know what it,ConfidenceHigh,347,328,1.95,0.77
reasoned,Reasoning,346,293,1.95,0.69
kaiser,CharacterTypes,346,212,1.95,0.50
analogies,ExpertVocabulary,346,197,1.95,0.46
latent,ExpertVocabulary,346,238,1.95,0.56
life expectancy,InformationQuantities,346,202,1.95,0.47
focuses,ExpertVocabulary,346,322,1.95,0.75
pointing to,Reasoning,346,325,1.95,0.76
can read,ConfidenceHedged,346,317,1.95,0.74
know exactly what,ConfidenceHigh,346,327,1.95,0.77
biotechnology,ExpertVocabulary,346,200,1.95,0.47
we tell,ReaderDirectedMetadiscourseFP,346,312,1.95,0.73
of the study,PurposePlan,345,256,1.94,0.60
illnesses,ExpertVocabulary,345,264,1.94,0.62
questionable,ConfidenceLow,345,323,1.94,0.76
149,InformationQuantities,345,252,1.94,0.59
that cause,Reasoning,345,317,1.94,0.74
nonstop,ExpertVocabulary,345,326,1.94,0.76
cortical,ExpertVocabulary,344,83,1.93,0.19
problem-solving,ExpertVocabulary,344,222,1.93,0.52
defined by the,ReaderDirectedMetadiscourse,344,287,1.93,0.67
familiarity,InformationComparison,344,281,1.93,0.66
141,InformationQuantities,344,250,1.93,0.59
might go,ConfidenceHedged,344,329,1.93,0.77
genders,ExpertVocabulary,344,221,1.93,0.52
compose,Reasoning,344,282,1.93,0.66
enthusiasts,CharacterTypes,344,299,1.93,0.70
classical music,ExpertVocabulary,344,226,1.93,0.53
listen to this,ReaderDirectedMetadiscourse,344,323,1.93,0.76
fetal,ExpertVocabulary,343,185,1.93,0.43
